j,ID_unique,POINT_X,POINT_Y,Y,Probability,LandPrice,Grid_supply,Chosen_BatTypes
1185,1186,161706.642,379756.8303,1.0,0.248321757,314.0174255,207.0,0
1186,1187,161245.3278,387448.226,1.0,0.561711669,280.0,207.0,0
1192,1193,161844.8131,384357.01,1.0,0.40304172,239.6434631,207.0,0
1194,1195,162350.9924,380830.3254,1.0,0.513191938,273.6091003,207.0,0
1197,1198,162450.4726,380952.9247,1.0,0.628712058,293.5467529,207.0,0
1200,1201,157907.4847,381711.4076,1.0,0.4579584,198.4129944,77.0,0
1206,1207,163552.8241,383770.7119,1.0,0.674187183,302.8745728,207.0,0
1208,1209,161302.3067,386556.7796,1.0,0.482929647,262.7418823,111.0,0
1210,1211,161152.119,387236.3303,1.0,0.560795784,300.6499939,207.0,0
1214,1215,160668.5044,385113.6767,1.0,0.703416765,302.7000122,111.0,0
1216,1217,163552.8144,382158.1062,1.0,0.703970194,295.4330444,207.0,0
1220,1221,160138.8368,385801.6113,1.0,0.683020592,317.576416,111.0,0
1222,1223,159086.4271,383707.0126,1.0,0.585175037,282.6621094,77.0,0
1228,1229,159165.5782,383855.0324,1.0,0.580586374,282.3063965,77.0,0
1233,1234,164361.7781,383868.4268,1.0,0.458051771,306.1335754,207.0,0
1234,1235,160003.7245,382407.234,1.0,0.626190782,256.9587097,77.0,0
1235,1236,160626.1067,384167.1646,1.0,0.739114106,276.8399963,111.0,0
1242,1243,159374.9552,384411.8842,1.0,0.593763649,285.3280029,77.0,0
1244,1245,158685.1998,383309.9523,1.0,0.636656523,172.7200012,77.0,0
1245,1246,164635.5618,383545.9169,1.0,0.304145336,305.2825928,207.0,0
1250,1251,160021.0476,386154.8698,1.0,0.569260836,291.3428955,111.0,0
1252,1253,160326.0284,385816.3664,1.0,0.709257066,287.0799866,111.0,0
1255,1256,158599.2781,383225.2556,1.0,0.629639626,227.6161499,77.0,0
1256,1257,160056.7516,384608.2349,1.0,0.711872876,307.6199951,111.0,0
1260,1261,161732.6094,381672.8431,1.0,0.74700582,340.0641174,207.0,0
1280,1281,163890.0697,381844.5944,1.0,0.560840786,608.9171143,207.0,0
1281,1282,157648.4887,383328.5276,1.0,0.546216488,376.7952881,77.0,0
1283,1284,159950.9644,381147.331,1.0,0.659727812,257.5487976,77.0,0
1284,1285,162637.5024,387329.5742,1.0,0.563288033,302.0799866,207.0,0
1287,1288,162461.587,387118.7616,1.0,0.526081979,306.4400024,207.0,0
1291,1292,161042.4822,386823.4016,1.0,0.569196165,303.9697571,111.0,0
1298,1299,164593.2041,384004.3111,1.0,0.388276994,274.2401123,207.0,0
1302,1303,158426.6279,383393.6391,1.0,0.570460081,281.4041748,77.0,0
1304,1305,163497.8338,381851.4722,1.0,0.789451659,301.2182922,207.0,0
1313,1314,162949.142,387738.2074,1.0,0.492732078,311.3500671,207.0,0
1314,1315,161329.8827,388166.2126,1.0,0.470468223,320.9599915,207.0,0
1321,1322,159321.1322,383958.7675,1.0,0.630957842,185.129364,77.0,0
1322,1323,161284.6689,387715.6261,1.0,0.552542806,323.492981,207.0,0
1328,1329,161679.5073,387632.8445,1.0,0.613601327,323.4537048,207.0,0
1339,1340,162166.0117,387340.5569,1.0,0.596928418,252.1999969,207.0,0
1342,1343,162447.6443,381624.82,1.0,0.848487139,313.1855774,207.0,0
1345,1346,158884.6273,383941.9897,1.0,0.503885686,316.2243652,77.0,0
1346,1347,159863.344,382358.8833,1.0,0.551462889,239.1228027,77.0,0
1349,1350,159634.0779,387149.1215,1.0,0.44847095,221.8837891,111.0,0
1350,1351,159639.7284,384137.5416,1.0,0.666078746,304.6913452,111.0,0
1357,1358,160847.1341,383836.4936,1.0,0.766293287,284.6128845,111.0,0
1358,1359,164739.1892,383909.5551,1.0,0.267671973,275.6400146,207.0,0
1359,1360,158819.258,383396.6631,1.0,0.628428996,295.2000122,77.0,0
1361,1362,161351.306,385235.5784,1.0,0.616119087,342.7167358,207.0,0
1370,1371,160197.1214,384958.8406,1.0,0.765197635,308.3979187,111.0,0
1372,1373,159916.9236,384704.5549,1.0,0.699587107,232.5465698,111.0,0
1376,1377,162542.8535,380775.8515,1.0,0.502938032,265.215271,207.0,0
1380,1381,160528.139,386192.5764,1.0,0.587979555,268.2399902,111.0,0
1384,1385,162600.1168,387161.6891,1.0,0.491044551,298.219574,207.0,0
1391,1392,161877.8127,381612.061,1.0,0.759328544,248.0,207.0,0
1397,1398,160041.5232,384451.8581,1.0,0.701552987,300.0386353,111.0,0
1406,1407,159108.917,382776.615,1.0,0.524667025,328.4571838,77.0,0
1407,1408,162297.3759,385527.7287,1.0,0.561376035,319.8999939,207.0,0
1409,1410,158912.7809,388035.3028,1.0,0.470357358,316.348999,111.0,0
1412,1413,160367.7352,381303.6489,1.0,0.647070885,290.29599,77.0,0
1437,1438,162554.6563,388093.9596,1.0,0.553342342,319.2958679,207.0,0
1443,1444,159798.0504,385266.245,1.0,0.748372197,301.0000916,111.0,0
1449,1450,161836.3064,387522.6066,1.0,0.646490991,310.164917,207.0,0
1453,1454,161470.9774,383457.1374,1.0,0.606808066,245.1629944,111.0,0
1458,1459,158421.9726,383727.5661,1.0,0.523583949,239.2402039,77.0,0
1462,1463,159959.7104,384860.0637,1.0,0.710212946,190.1808777,111.0,0
1463,1464,162082.7391,387031.105,1.0,0.53437531,301.7290039,207.0,0
1468,1469,164152.3134,383414.1966,1.0,0.524291277,292.1965332,207.0,0
1471,1472,163702.8704,382793.8442,1.0,0.67623204,279.5143738,207.0,0
1473,1474,159629.6719,382996.987,1.0,0.614156663,323.5237732,77.0,0
1490,1491,162435.9704,387635.4361,1.0,0.674409866,296.0096741,207.0,0
1503,1504,161981.7122,386108.1384,1.0,0.583944738,271.4274292,207.0,0
1511,1512,161194.8447,384949.8115,1.0,0.57635355,315.5001526,111.0,0
1513,1514,159909.1079,386557.0068,1.0,0.45457235,309.6436157,111.0,0
1515,1516,160177.1474,381752.9154,1.0,0.689523518,310.8392334,77.0,0
1519,1520,163308.1079,383113.7574,1.0,0.786735535,323.5499878,207.0,0
1548,1549,159443.419,385132.1161,1.0,0.640605867,183.1586456,111.0,0
1558,1559,163200.7088,382021.958,1.0,0.78033483,320.7938538,207.0,0
1564,1565,159670.2907,382343.6643,1.0,0.504404843,248.486969,77.0,0
1565,1566,162222.2081,385039.7411,1.0,0.456247151,338.7062988,207.0,0
1578,1579,160341.8717,387301.7756,1.0,0.566186309,297.0279236,111.0,0
1594,1595,161910.0405,385506.2625,1.0,0.667312682,267.8736877,207.0,0
1596,1597,161629.5422,385135.806,1.0,0.563354373,339.1319275,207.0,0
1598,1599,161328.6593,386794.4201,1.0,0.55659163,263.2096252,111.0,0
1603,1604,160647.0123,384883.3936,1.0,0.70965308,309.3107605,111.0,0
1609,1610,160971.0216,384841.1321,1.0,0.611935675,266.2399902,111.0,0
1610,1611,163875.4643,382892.7122,1.0,0.632824659,239.1347046,207.0,0
1614,1615,157853.6963,381200.9062,1.0,0.545208931,215.7288666,77.0,0
1618,1619,160191.1526,380905.7449,1.0,0.470474601,321.532959,77.0,0
1628,1629,161071.97,386063.2676,1.0,0.528690338,227.2480011,111.0,0
1629,1630,157926.3364,381842.6931,1.0,0.445217758,301.9100037,77.0,0
1635,1636,161202.8811,383768.2315,1.0,0.639237285,294.9817505,207.0,0
1643,1644,162633.2805,381594.8634,1.0,0.858168364,289.8027649,207.0,0
1650,1651,162180.1826,384640.1163,1.0,0.332232505,215.9940491,207.0,0
1656,1657,161769.2672,379856.081,1.0,0.25597614,285.0672913,207.0,0
1662,1663,159251.2004,384331.485,1.0,0.611651182,304.4252625,77.0,0
1668,1669,159178.5404,383158.1809,1.0,0.655076265,324.8561401,77.0,0
1669,1670,163425.6492,383095.8342,1.0,0.768742383,323.2550354,207.0,0
1672,1673,164185.3412,384058.6966,1.0,0.572645605,303.0130005,207.0,0
1674,1675,161387.2483,385742.5951,1.0,0.62984246,302.2019348,207.0,0
1680,1681,162167.8812,384908.2676,1.0,0.44392699,285.668457,207.0,0
1682,1683,160467.8675,387923.0075,1.0,0.503655732,309.9400024,207.0,0
1700,1701,162057.0835,387187.1773,1.0,0.563762605,295.9966736,207.0,0
1703,1704,162252.2124,381627.908,1.0,0.839326262,341.6964722,207.0,0
1707,1708,160107.3283,384834.2293,1.0,0.736191988,272.4424133,111.0,0
1710,1711,158555.0743,383787.9544,1.0,0.510108531,264.1076965,77.0,0
1711,1712,160134.5147,387167.5834,1.0,0.536886036,235.6354675,111.0,0
1720,1721,159879.3622,385603.1575,1.0,0.717524052,328.6000061,111.0,0
1721,1722,158743.761,380540.1957,1.0,0.388136029,245.0579987,77.0,0
1724,1725,157912.0612,383537.4373,1.0,0.58476001,297.0028687,77.0,0
1725,1726,158684.9863,381113.9009,1.0,0.654716969,270.5200806,77.0,0
1736,1737,159501.3405,382373.4395,1.0,0.452155501,291.3993835,77.0,0
1738,1739,161061.2643,385933.3143,1.0,0.561039805,308.6400146,111.0,0
1746,1747,158111.1762,381175.4015,1.0,0.605112016,296.7364807,77.0,0
1759,1760,160385.1995,382112.7379,1.0,0.701014578,244.6000061,77.0,0
1763,1764,162087.5394,384583.8602,1.0,0.316131115,167.4404602,207.0,0
1767,1768,162295.8962,386789.9701,1.0,0.455979764,271.5,207.0,0
1786,1787,160794.265,384999.2224,1.0,0.672185779,189.7158356,111.0,0
1793,1794,160885.5611,384045.4108,1.0,0.730086625,128.6212921,207.0,0
1797,1798,161386.9951,387300.0471,1.0,0.587275982,301.0,207.0,0
1803,1804,159618.5514,381135.3546,1.0,0.622721732,264.6409912,77.0,0
1806,1807,159304.2596,383559.4082,1.0,0.676168382,218.8735809,77.0,0
1808,1809,162152.9496,384330.431,1.0,0.32283932,286.3735352,207.0,0
1812,1813,161662.9235,385501.3638,1.0,0.665521324,241.506897,207.0,0
1827,1828,161790.2051,385794.9854,1.0,0.647817969,246.7501678,207.0,0
1831,1832,162567.6728,387954.0869,1.0,0.590552688,222.3094025,207.0,0
1832,1833,161431.0317,384881.0591,1.0,0.518377125,252.6997528,207.0,0
1833,1834,160747.9798,386569.0725,1.0,0.59068805,261.2521362,111.0,0
1842,1843,161831.7096,382687.0727,1.0,0.695965946,322.6051331,207.0,0
1849,1850,161730.3943,388193.5541,1.0,0.460961759,316.8049622,207.0,0
1856,1857,159870.9187,381367.3593,1.0,0.693726718,304.2000122,77.0,0
1860,1861,162161.2262,387866.102,1.0,0.640413702,302.7999878,207.0,0
1862,1863,160625.4303,387089.878,1.0,0.553688645,310.7999878,111.0,0
1866,1867,160337.5774,384759.9512,1.0,0.748249888,308.6400146,111.0,0
1869,1870,162403.2445,387793.7959,1.0,0.659989476,317.0,207.0,0
1876,1877,159646.6137,385100.8941,1.0,0.672289133,253.9996338,111.0,0
1880,1881,161648.364,386629.5299,1.0,0.470487505,300.8529663,111.0,0
1882,1883,160927.9133,384600.2993,1.0,0.61700356,261.4992371,111.0,0
1893,1894,163037.9439,382549.2898,1.0,0.727550566,322.3152466,207.0,0
1902,1903,161223.2409,385711.8642,1.0,0.600194156,278.777771,207.0,0
1915,1916,164118.7063,383558.2301,1.0,0.535968006,312.3544617,207.0,0
1918,1919,160988.5166,386150.1502,1.0,0.525503337,268.3548279,111.0,0
1924,1925,161091.6447,384515.159,1.0,0.591415524,219.5,111.0,0
1939,1940,161227.2104,384545.3645,1.0,0.540476561,260.2442322,111.0,0
1941,1942,161989.2888,386327.7819,1.0,0.49043569,285.2399902,207.0,0
1942,1943,159800.8936,384925.3267,1.0,0.689353049,188.1999969,111.0,0
1957,1958,160758.6311,384748.1551,1.0,0.670786142,312.4057922,111.0,0
