OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,CID,DependeVar,amenity,name,operator,brand,ID_unque,Parking_Location,NEAR_FID,Train_station,Gas_station,CarRental,BusStation,Hospital,EatingDrinking,RoadNetwork,PowerNetwork,obsvalue,categorie,POINT_X,POINT_Y,RASTERVALU
173,1,375,1,375,,1,charging_station,T-Electric, , ,375,404.6382269,6773,2730.698739,19.46003996,821.7960671,1957.303064,2174.063416,82.68960811,13.70253192,69.57350446,6331,Woongebied,163281.39,381698.2795,0.83630538
174,1,376,1,376,,1,charging_station,ChargePoint,ChargePoint, ,376,246.4627719,6206,1849.327945,320.2159461,634.6442315,1599.18998,3029.430984,205.7406191,0.725749204,35.4677342,5466,Woongebied,163272.217,383139.047,0.802561224
175,1,377,1,377,,1,charging_station,ChargePoint,ChargePoint, ,377,391.6033101,8927,2111.152633,160.4778673,1260.266448,2120.087678,3686.267668,211.4952483,7.19114139,144.4095672,5585,Woongebied,163655.3132,383675.9307,0.672032475
176,1,378,1,378,,1,charging_station,ChargePoint,ChargePoint, ,378,99.93642716,6398,2526.076587,590.9734836,831.8586344,2043.619651,4425.299937,56.5960107,22.14645397,0.871543909,3216,Woongebied,164019.4216,384332.7278,0.555075109
177,1,379,1,379,,1,charging_station,ChargePoint,ChargePoint, ,379,117.064915,6316,2544.310085,588.2484282,835.853442,2066.755399,4426.886777,32.94964549,3.611206494,7.490881689,3216,Hoofdweg,164041.2351,384317.4029,0.575563729
178,1,380,1,380,,1,charging_station, ,Opcharge, ,380,477.5591262,1130,817.6875329,518.8845426,2645.558152,2508.576827,4848.520067,105.751829,10.06558568,49.73669579,6263,Bouwterrein,159824.5587,385487.8059,0.73606962
179,1,381,1,381,,1,charging_station, ,Opcharge, ,381,501.2545295,7238,736.8584649,398.6516542,2678.544367,2488.454013,4805.232619,233.9225625,7.358353808,85.44992152,6263,Bouwterrein,159716.2838,385406.7238,0.734549761
180,1,382,1,382,,1,charging_station, ,private, ,382,102.5308359,8361,876.0882202,778.7816688,1422.068185,1146.603209,3235.015476,120.6638289,33.60780266,68.40979052,6159,Sociaal-culturele voorziening,159957.5388,383815.9269,0.671599805
181,1,383,1,383,,1,charging_station, ,EVnetNL, ,383,119.8899661,5323,1336.779131,339.1998271,1045.743981,1379.696569,3165.15626,70.3906729,3.959318135,8.3898951,5466,Woongebied,162868.1381,383596.2133,0.813114107
182,1,384,1,384,,1,charging_station, ,Allego, ,384,316.359302,5313,1109.013153,346.5737496,818.5142805,1191.142987,3058.162228,103.0402837,10.18820394,1.277860045,5466,Woongebied,162637.3982,383599.1639,0.78505528
183,1,385,1,385,,1,charging_station, ,Opcharge, ,385,301.9187471,5291,1149.644,549.3073019,865.5342362,1419.575707,3334.567424,237.9584534,2.489765822,86.36172421,5466,Woongebied,162695.8776,383877.9373,0.651043355
184,1,386,1,386,,1,charging_station, ,Park&Charge, ,386,296.4933325,8612,1221.85949,319.6084414,934.211052,1201.76805,2999.544176,115.0645039,7.948342553,50.70318022,5466,Woongebied,162726.8486,383486.0013,0.800328195
185,1,387,1,387,,1,charging_station, ,Allego, ,387,234.0840084,5263,1273.233992,258.9066868,927.5944768,1129.317578,2861.78203,191.4284403,6.588553101,31.85191217,5466,Woongebied,162727.0904,383327.2459,0.801476955
186,1,388,1,388,,1,charging_station, ,Allego, ,388,106.0450522,5250,1019.324159,217.7864188,486.8964454,679.2968865,2506.009762,261.9746305,7.555147072,35.59001405,3156,Woongebied,162317.783,383139.9911,0.748916566
187,1,389,1,389,,1,charging_station, ,EVnetNL, ,389,109.0837561,5250,1016.05478,219.5814379,484.0084543,676.4505468,2505.418754,258.3820286,7.671702489,32.18342751,3156,Woongebied,162314.2772,383140.9428,0.748916566
188,1,390,1,390,,1,charging_station, ,Park&Charge, ,390,158.8359291,5246,1866.948569,543.0647378,958.8799789,927.7115579,1474.744318,81.10039711,8.49927728,0.980764463,7304,Woongebied,162156.5757,382043.4569,0.820529401
189,1,391,1,391,,1,charging_station, ,EVnetNL, ,391,55.62134629,5106,1932.530943,349.1393774,1041.024849,966.1949698,1262.517707,49.85012939,7.326216152,6.317141125,7304,Woongebied,161961.6018,381920.7197,0.812055945
190,1,392,1,392,,1,charging_station,ChargePoint,ChargePoint, ,392,737.1861976,846,3226.566627,533.2620213,1355.344225,2398.119582,2168.804762,254.080543,6.765981231,69.87651587,6331,Woongebied,163420.1022,381180.3891,0.72362721
191,1,393,1,393,,1,charging_station,ChargePoint,ChargePoint, ,393,921.3153925,7970,3382.902266,664.2552239,1461.839137,2569.608557,2330.828413,434.7479673,3.999594905,26.42968811,2601,Woongebied,163592.118,381112.8149,0.655984461
192,1,394,1,394,,1,charging_station, ,Park&Charge, ,394,227.2109988,7524,1022.309736,125.2712908,744.7211274,968.5796122,2832.877655,37.88568227,6.031474887,92.37222025,3156,Woongebied,162493.3987,383418.7214,0.769369543
193,1,395,1,395,,1,charging_station, ,Opcharge, ,395,137.357317,5240,1039.024547,34.42551091,709.8817436,901.8400521,2743.089699,88.53016536,3.902738277,147.0946197,3156,Bedrijfsterrein,162470.6197,383330.0537,0.764635146
197,1,399,1,399,,1,charging_station,ChargePoint,ChargePoint, ,399,307.4570722,6631,2913.258249,420.6708784,861.0080586,2226.517791,2573.226875,413.6569985,4.067141447,43.12365441,2392,Woongebied,163667.1862,381809.1642,0.712875605
199,1,401,1,401,,1,charging_station, ,EVnetNL, ,401,0,7420,2517.200448,768.597417,2959.699466,1932.203119,5817.93679,46.42563076,15.55377672,45.42950573,4282,Detailhandel en horeca,161289.687,386679.2074,0.510887682
200,1,402,1,402,,1,charging_station,ChargePoint,ChargePoint, ,402,215.493335,6679,2683.48462,663.6085868,611.0243232,2098.723184,2762.238893,206.7034807,7.456536723,107.2628521,1900,Woongebied,163693.2723,382195.9963,0.680244446
201,1,403,1,403,,1,charging_station,ChargePoint,ChargePoint, ,403,165.9666986,6728,2485.413814,644.8640983,410.294543,1899.071437,2652.022926,106.6991728,3.776756536,41.88849891,1676,Woongebied,163512.2146,382285.2459,0.686274111
202,1,404,1,404,,1,charging_station, ,Qwello Benelux BV, ,404,215.4221543,9354,1773.324284,158.5793435,1804.059702,1548.067103,4733.127826,126.2708169,9.914970932,53.93568544,5321,Woongebied,161736.7557,385571.8296,0.687794983
