j,ID_unique,POINT_X,POINT_Y,Y,LandPrice,Grid_supply,Actual_required_MW,Available_intake_MW,Chosen_BatTypes
579,1682,160971.0216,384841.1321,1.0,266.2399902,111,121.8170066,109,0
580,1683,163875.4643,382892.7122,1.0,239.1347046,207,197.6820818,190,0
581,1687,157853.6963,381200.9062,1.0,215.7288666,77,110.1706551,64,0
585,1702,161071.97,386063.2676,1.0,227.2480011,111,121.8170066,109,0
586,1709,161202.8811,383768.2315,1.0,294.9817505,207,197.6820818,190,0
587,1717,161039.2306,387674.2894,1.0,391.6498413,207,197.6820818,190,0
588,1719,162633.2805,381594.8634,1.0,289.8027649,207,197.6820818,190,0
589,1728,164117.7144,383679.8942,1.0,336.9895325,207,197.6820818,190,0
591,1739,159251.2004,384331.485,1.0,304.4252625,77,110.1706551,64,0
592,1745,159178.5404,383158.1809,1.0,324.8561401,77,110.1706551,64,0
593,1746,163425.6492,383095.8342,1.0,323.2550354,207,197.6820818,190,0
594,1749,164185.3412,384058.6966,1.0,303.0130005,207,197.6820818,190,0
595,1752,161387.2483,385742.5951,1.0,302.2019348,207,197.6820818,190,0
598,1761,160467.8675,387923.0075,1.0,309.9400024,207,197.6820818,190,0
600,1773,162397.4738,388090.3036,1.0,359.2000122,207,197.6820818,190,0
602,1775,158767.1323,381885.8101,1.0,421.6739502,77,110.1706551,64,0
606,1779,162057.0835,387187.1773,1.0,295.9966736,207,197.6820818,190,0
607,1782,162252.2124,381627.908,1.0,341.6964722,207,197.6820818,190,0
609,1786,160107.3283,384834.2293,1.0,272.4424133,111,121.8170066,109,0
610,1789,158555.0743,383787.9544,1.0,264.1076965,77,110.1706551,64,0
611,1790,160134.5147,387167.5834,1.0,235.6354675,111,121.8170066,109,0
614,1799,158767.0617,382762.2374,1.0,387.4996643,77,110.1706551,64,0
615,1800,159879.3622,385603.1575,1.0,328.6000061,111,121.8170066,109,0
616,1804,157912.0612,383537.4373,1.0,297.0028687,77,110.1706551,64,0
617,1805,158684.9863,381113.9009,1.0,270.5200806,77,110.1706551,64,0
619,1807,162555.8398,381904.2055,1.0,381.9715576,207,197.6820818,190,0
620,1814,161222.2031,383497.3923,1.0,393.3456726,111,121.8170066,109,0
621,1815,161716.2791,383597.5723,1.0,371.9848938,207,197.6820818,190,0
625,1827,158111.1762,381175.4015,1.0,296.7364807,77,110.1706551,64,0
628,1839,158599.0481,381222.7487,1.0,355.7999878,77,110.1706551,64,0
629,1841,160385.1995,382112.7379,1.0,244.6000061,77,110.1706551,64,0
630,1849,163349.6174,383410.728,1.0,345.1730347,207,197.6820818,190,0
631,1850,163264.2258,382565.7136,1.0,345.4696655,207,197.6820818,190,0
632,1857,163405.053,382431.3569,1.0,409.6733093,207,197.6820818,190,0
636,1872,160794.265,384999.2224,1.0,189.7158356,111,121.8170066,109,0
637,1879,160885.5611,384045.4108,1.0,128.6212921,207,197.6820818,190,0
638,1883,161386.9951,387300.0471,1.0,301.0,207,197.6820818,190,0
639,1889,159618.5514,381135.3546,1.0,264.6409912,77,110.1706551,64,0
641,1892,159304.2596,383559.4082,1.0,218.8735809,77,110.1706551,64,0
642,1899,161662.9235,385501.3638,1.0,241.506897,207,197.6820818,190,0
648,1915,161790.2051,385794.9854,1.0,246.7501678,207,197.6820818,190,0
650,1919,162567.6728,387954.0869,1.0,222.3094025,207,197.6820818,190,0
651,1920,161431.0317,384881.0591,1.0,252.6997528,207,197.6820818,190,0
652,1921,160747.9798,386569.0725,1.0,261.2521362,111,121.8170066,109,0
654,1930,161831.7096,382687.0727,1.0,322.6051331,207,197.6820818,190,0
656,1940,163500.4837,382377.1433,1.0,422.3231506,207,197.6820818,190,0
659,1949,162161.2262,387866.102,1.0,302.7999878,207,197.6820818,190,0
661,1955,160337.5774,384759.9512,1.0,308.6400146,111,121.8170066,109,0
662,1958,162403.2445,387793.7959,1.0,317.0,207,197.6820818,190,0
663,1965,159646.6137,385100.8941,1.0,253.9996338,111,121.8170066,109,0
666,1971,160927.9133,384600.2993,1.0,261.4992371,111,121.8170066,109,0
670,1983,163037.9439,382549.2898,1.0,322.3152466,207,197.6820818,190,0
674,1992,161223.2409,385711.8642,1.0,278.777771,207,197.6820818,190,0
678,2006,164118.7063,383558.2301,1.0,312.3544617,207,197.6820818,190,0
679,2010,160988.5166,386150.1502,1.0,268.3548279,111,121.8170066,109,0
681,2016,161091.6447,384515.159,1.0,219.5,111,121.8170066,109,0
686,2031,161227.2104,384545.3645,1.0,260.2442322,111,121.8170066,109,0
687,2032,160086.4901,385211.7304,1.0,396.3200073,111,121.8170066,109,0
688,2034,159800.8936,384925.3267,1.0,188.1999969,111,121.8170066,109,0
693,2049,160758.6311,384748.1551,1.0,312.4057922,111,121.8170066,109,0
694,2051,164201.6056,383907.9231,1.0,321.7000122,207,197.6820818,190,0
697,2055,162390.2189,381447.36,1.0,412.0552368,207,197.6820818,190,0
699,2063,162306.3808,387828.0537,1.0,346.2399902,207,197.6820818,190,0
702,2072,161144.1368,384388.5681,1.0,296.1781616,111,121.8170066,109,0
704,2078,158980.9394,383735.8844,1.0,283.0790405,77,110.1706551,64,0
705,2079,162599.6928,380972.5233,1.0,351.5007019,207,197.6820818,190,0
709,2089,160041.3387,381345.3538,1.0,250.0,77,110.1706551,64,0
710,2093,162106.0664,385730.6764,1.0,333.8800049,207,197.6820818,190,0
713,2098,159663.0817,383235.514,1.0,287.7683411,77,110.1706551,64,0
717,2103,157989.443,383266.591,1.0,376.5263367,77,110.1706551,64,0
718,2105,160050.2831,385988.7489,1.0,289.3678589,111,121.8170066,109,0
720,2112,163110.7515,381694.4384,1.0,325.0,207,197.6820818,190,0
722,2117,162487.5432,387430.2369,1.0,320.480011,207,197.6820818,190,0
724,2134,161092.2581,385486.2319,1.0,275.2999878,111,121.8170066,109,0
728,2146,161339.7695,387911.7916,1.0,312.4341736,207,197.6820818,190,0
730,2151,160265.2689,384662.7158,1.0,239.4514313,111,121.8170066,109,0
733,2165,162936.2733,381922.1181,1.0,393.6000061,207,197.6820818,190,0
734,2168,158563.339,383898.6113,1.0,298.0943604,77,110.1706551,64,0
735,2171,160372.6753,385186.0352,1.0,295.3200073,111,121.8170066,109,0
737,2174,163351.9735,382051.5871,1.0,296.0,207,197.6820818,190,0
738,2175,161461.498,387961.567,1.0,307.0713196,207,197.6820818,190,0
739,2176,159547.984,385076.746,1.0,191.3393555,111,121.8170066,109,0
741,2179,161678.7813,385680.1825,1.0,264.3999939,207,197.6820818,190,0
744,2193,161548.8598,387316.08,1.0,287.1269531,111,121.8170066,109,0
746,2205,160937.333,383938.2894,1.0,199.7442627,207,197.6820818,190,0
748,2218,161950.5624,385860.8419,1.0,275.1000671,207,197.6820818,190,0
