station_j,m,t,inventory_MWh
103,3,0,0.088
103,3,2,0.088
103,3,3,0.088
106,0,0,0.088
106,0,2,0.088
106,0,3,0.088
106,2,0,0.1
106,2,1,0.1
106,2,2,0.1
106,2,3,0.1
113,0,0,0.1
113,0,1,0.01200000000000001
113,0,2,0.1
113,0,3,0.1
113,2,0,0.1
113,2,1,0.1
113,2,2,0.1
113,2,3,0.1
113,3,0,0.1
113,3,1,0.01200000000000001
113,3,2,0.1
113,3,3,0.1
115,0,0,0.088
115,0,2,0.1
115,1,0,0.088
115,1,2,0.1
115,1,3,0.088
115,2,0,0.088
115,2,2,0.1
115,2,3,0.088
115,3,0,0.088
115,3,2,0.1
116,0,0,0.088
116,0,2,0.1
116,1,0,0.088
116,1,2,0.1
116,2,0,0.088
116,2,2,0.1
116,3,0,0.088
116,3,2,0.1
117,0,0,0.088
117,0,2,0.088
117,0,3,0.088
122,0,0,0.088
122,0,2,0.088
122,0,3,0.088
122,1,0,0.088
122,1,2,0.088
122,1,3,0.088
122,2,0,0.1
122,2,1,0.01200000000000001
122,2,2,0.1
122,2,3,0.1
122,3,0,0.088
122,3,2,0.088
122,3,3,0.088
123,0,0,0.1
123,0,1,0.01200000000000001
123,0,2,0.1
123,0,3,0.1
123,1,0,0.088
123,1,2,0.088
123,1,3,0.088
123,2,0,0.088
123,2,2,0.088
123,2,3,0.088
123,3,0,0.088
123,3,2,0.088
123,3,3,0.088
125,0,0,0.1
125,0,1,0.01200000000000001
125,0,2,0.1
125,0,3,0.1
125,1,0,0.1
125,1,1,0.1
125,1,2,0.1
125,1,3,0.1
126,0,0,0.088
126,0,2,0.1
126,1,0,0.088
126,1,2,0.1
126,1,3,0.088
126,2,0,0.1
126,2,1,0.01200000000000001
126,2,2,0.1
126,2,3,0.1
126,3,0,0.088
126,3,2,0.1
126,3,3,0.06821230091548364
128,0,0,0.088
128,0,2,0.088
128,0,3,0.088
131,0,0,0.088
131,0,2,0.1
131,1,0,0.088
131,1,2,0.1
131,1,3,0.088
131,2,0,0.088
131,2,2,0.09094538390757473
131,2,3,0.088
131,3,0,0.088
131,3,2,0.1
132,0,0,0.088
132,0,2,0.088
132,0,3,0.088
132,3,0,0.088
132,3,2,0.088
132,3,3,0.088
134,0,0,0.1
134,0,1,0.01200000000000001
